,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
10,1,1,1,1,2,1,“회사가 잘 나가는거랑 별개인 회사”,현직원 · i**** · 연구개발(R&D) - 2023.08.16,"1 남양은 시골 같은 감성 느낄수있음
2 술로 형동생 하는 회사","1 임원들만 돈 많이 받음
2 절대 회사의 성장은 내 월급과 별개임
3 군대 문화
4 삼성 SK보다 많이 부족함복지 월급 성과금 등
5 회식 1N
6 매번 성과금 지급이 연말임"
11,2,3,4,3,1,1,“대한민국 꼰대 집합소”,현직원 · l********* · 연구개발(R&D) - 2020.08.10,업무강도가 매우 낮은편 타 직장에서 이직해왔는데 이정도면 매우 널널함,긴 근속년수 덕에 각종 꼰대를 다 볼 수 있음 이런 상황 적응 가능한 자만 다닐것
12,1,3,5,1,3,1,“급여가 정말 짭니다 회사가 성과급 안주려고 발악합니다”,현직원 · l******* · 연구개발(R&D) - 2023.08.16,장점이라고 할 만한 것이 크게 없습니다 굳이 꼽자면 워라밸인데 사실 이것도 자율출퇴근제라 그런거고 일은 많습니다,"돈을 너무 안줍니다 정말 너무 안줍니다
성과가 잘나오는 해에도 성과급을 안주려고 발악합니다
그러면서 경영진들은 수십억씩 가져갑니다"
13,2,2,4,2,1,1,“경영진의 물갈이가 시급”,현직원 · b***** · 연구개발(R&D) - 2020.09.18,"워라벨이 어느정도 보장되는 시스템
노조의 존재
자동차분야에서 제대로 일할수 있는 곳","꽉막힌 인사정책과 경영진
공장 인원이 많아 타사대비 복지 혜택이 축소되는 효과
주택 지원금 없음"
14,1,1,1,1,1,1,“믿음을 주지 못하는 회사”,현직원 · i********* · 연구개발(R&D) - 2023.08.16,"경쟁이 그나마 좀 덜한듯 느껴질수도 있는 회사

코어타임이 있지만 존재하긴하는 자율출퇴근","막상 책임급이 되면 고과도 나눠먹는 듯한
공평성이 느껴지지 않는 분위기

 회사가 직원에게 한 이야기 중 지켜지는게 없음 사장의 임금 개선 메일  채용 시 재택근무 홍보하지만 재택 폐지 기사로 간보기  유명무실한 노사측의 일반직연구직 임금개선 TFT

 연구소의 경우 위치를 알고 오긴했지만 생각보다 더욱 열악한 통근환경 개선의지 전무

 말도 안되는 생산기술직의 행태 업무태도 그리고 이는 전혀 해결하지 못하는 사측

 이 모든걸 묵인하고 지키지 않으므로 써오는 직원들의 사기 저하로 인한 업무 능력 저하"
15,1,1,1,1,1,1,“무능한 회사와노조와 지배한 회사”,현직원 · i******* · 연구개발(R&D) - 2023.08.16,"점심밥 제공
돈 내지만 회사버스 이용가능
사대보험 지원
저연차에 한해 휴가비 지원","노사가 담합하여 작년 성과금을 올해말까지 안줌 연봉에서 대기업메리트가없음
신입도 아주 큰 프로젝트를 맡을 수 있음 거대한 성장의 기회
그치만 스펙엔 도움안됨"
16,1,1,1,1,1,1,“망해가는 망해야만하는 회사”,현직원 · j******** · 연구개발(R&D) - 2020.09.30,"휴가 일수가 다른 회사 대비 많은것
유일한 장점입니다","1 근무지가 거의 오지 입니다 연구소 근처에 기숙사 사는게 아니면 셔틀로 다녀야하는데 모빌리티 회사임에도 불구하고 1차선 노선 불편한 셔틀 매일 막히는 도로 체악입니다 이래놓고 무슨 자동차 회사인지
2 경영친은 직원 알기를 노예로 압니다 자기들 배부르기에 바쁘고 직원 건강이며 월급이며 뭐든 해주기 싫은티 팍팍
3 밥이 정말 개밥이에요"
17,1,1,1,1,1,1,“항상 위기를 대비하는 회사”,현직원 · 현**** · 경영전략·사업기획·분석전문가 - 2023.08.16,회사의 국민정서와 위기관리 리스크가 뛰어나다 노조와 시측이 협상을 길게길게한다,장점때문에 성과협상이 늦어지고 직원들 사기가 크게 저하됨
18,1,1,2,1,1,1,“타부서는 중간은 가지만 구매본부는 최하위”,현직원 · t***** · 구매·물류·SCM 전문가 - 2022.06.22,구매 직무에서 일하면서 정말 장점이라고 생각이 든게 한개도 없음 워라벨 문화 업무 만족도 등 모두 전사 최하위 부서,"더이상 취업사기 피해자 업기를 바라며 올립니다

구매본부는 정말 지원하지 마세요 한번의 선택으로 인생 전체가 암울해 집니다

1 워라벨 최악업무량 극대인데 초과 근무를 입력해도 팀장이 결재을 안해줌 그렇다고 야근하면 선배들이 문화 나빠진다고 싫어함  주말에 수당없이 몰래 일

2 초 수직적인 문화  안되는걸 억지로 해오라고 시키거나 윗사람에게 온갖 사바사바를 해야되는 90년대 문화

3 지저분한 업무  구매 업무의 특성상 데이터를 다뤄야 하는일이 정말 많은데 시스템화가 하나도 안되어 있음 즉 신입이 오면 신입이 모든 차종정보 부품 정보를 각자 엑셀이나 피피티로 새로 만들어서 관리해야 하고 정말 단순한 일도 사람이 하나하나 다 수기로 처리해야 하다보니 업무 효율 최악 인터넷 익스플로러로만 연동되는 각종 프로그램은 덤 클릭 하나 누르면 1분은 있어야 로딩되는 미친 플랫폼 구체적이고 체계적인 프로세스 표준이 없어 매번 협력사를 강제로 찍어 누를 수 밖에 없는 체계전쟁에 끌러간 러시아 군인 느낌

4 커리어 멸망
자동차 부품구매로 온 이상 타 회사 직무와 겹치는 게 없음 즉 경력 개발 불가로 다른데 갈 곳이 없음 상사들도 이 점을 알아서 밑에 직원들을 함부로 부려먹음

이외에도 수 많은 단점이 있으나 글로는 설명이 어려움"
19,1,1,1,1,1,1,“매년 위기인 회사”,현직원 · !********* · 연구개발(R&D) - 2023.08.16,"다른 회사 보다 쉬는 날 조금 더 있지만
매달 강제로 노조비 떼가는거 생각하면 장점 없음","최대 실적에도 매년 위기인 회사
공장 노조 아저씨들이 일반 연구직 성과급 결정함
성과급을 9월12월 분할로 줌
사대리 연본 박살남
과장 비중 높음 특히 장년 앞둔 사람 많아 평균 연봉 높아보임"
20,1,1,1,1,1,1,"“직원 감시는 80년대, 직장문화는 90년대, 연봉은 00년대, 광 파는건 30년대, 현대는 역시 현대”",현직원 · i********* · 연구개발(R&D) - 2020.10.22,"2시간에 걸친 장고 끝에 장점을 찾았다 넘나 힘들다
1 비데
2 출퇴근길에 철새떼 구경 가능
3 기숙사 샤워기 수압 좋음","단점 논문30편 짜리를 30자로 요약할 능력 부족
제일 큰 건 어느 동네랑 비슷하게 3대세습 직원 감시 및 사찰 취업비리와 사기 정도
식대에서조차 누군가의 이익착복이 우선인지라 밥조차 석연찮은 개밥  인데 사실 유기견들도 이거 먹을지는 선뜻 말 못 하겠음

엔지니어라면 커리어의 종착지인건 맞음
여기 다음은 창업뿐"
21,1,1,1,1,1,1,“모두 탈출 눈치 보는 회사”,현직원 · n***** · 경영전략·사업기획·분석전문가 - 2023.09.05,"워라벨은 부바부이지만 괜찮은 곳은 칼퇴 가능
그래도 현차하면 밖에서 인정은 해줌","윗선이 버티고 나가지 않아 혁신이 부족함
배울점이 없어 회사 밖에서 자기개발을 더 해야함"
22,1,1,1,1,1,1,“연구개발/일반 직군으로는 절대 오지 마세요.”,현직원 · I********* · 연구개발(R&D) - 2023.08.16,"급여 및 복지 수준과 달리 명목상 대기업이라 마이너스 통장이 잘 나오는 편입니다
또한 회사 자체 대출은 없기 때문에 회사지원 저리대출 1000여명 당 1명 꼴로 당첨 이 악물고 대출 원리금 상환에 힘쓰다 보면 신용점수가 제법 오릅니다","1 사내에선 성과와 상관없이 어렵다는 말만 반복함
코로나 시기 국내 대기업 중 유일하게 연봉동결
2 사외에선 귀족노조들 때문에 공공의 적
3 사규에 따라 의지가 상관없이 입사하자마자 노조에 소속되는데 막상 노조는 평균 연령 50세가 넘어서 정년연장 말고 연구일반 직군 관련 복지는 논의조차 안 함
4 상기 정년연장 안건을 포함한 단체협상을 매년 성과에 따른 성과금 산정하는 임금협상과 묶어 진행하여 성과금을 인질 삼아 할아버지들 정년 연장 깡패 노조 해고자 복직과 거래함
5 총괄조직인 대부분의 연구개발 조직은 기아제네시스 전부 개발하지만 기아차 할인은 커녕 기아보다 복지도 밀림 휴가비퇴직금 현저하게 적음
6 그렇게 자랑하는 최대 복지인 차량 할인도 차장급 평균 14년차 미만은 잘 나와야 15 내외이며 2년에 1회"
23,1,1,1,1,1,1,“없는 정도 떨어지는 회사”,현직원 · 달****** · 생산엔지니어·생산관리 - 2020.10.07,엔지니어를 정치가로 만들어줌 일은 기술이 아니고 학벌  연줄 정치판 충성심,출근하기 싫은 회사됨 최근 임담협에서 본색이 나옴
24,1,1,2,1,1,1,“옛 신화는 잊어라”,현직원 · i********* · 연구개발(R&D) - 2020.09.16,"자동차라는 나름 재밌는 아이템
생각을 아무리아무리 해봐도 없다","돈 생각보다 안줍니다 외부정보에 속지마세요
절대 글로벌 시장에서 앞서나갈수없는 회사입니다"
25,1,1,3,1,1,1,“스타트업과 대기업의 단점만 조합해놓은 회사”,현직원 · a***** · IT 엔지니어 - 2023.04.27,할일이 많지 않아 워라벨 끝판왕 차할인 휴일 많음,"1 체계 없음
체계는 스타트업만도 못함
2023년에 권한 요청을 메일로 해야하고 업무 시스템 별 AD연동도 안되어 벌써 시스템 별로 생성한 계정만 열개가 넘어감
매일 RR이 정립이 안되어 오토에버 협력업체간 메일을 핑퐁하는 모습을 볼 수 있음
2 답답한 일처리
협력업체 오토에버 유관부서가 안해줘서 진행안되는 일이 많음 매주 어디가 안해줘서 진행안된다는 내용 들을때마다 그냥 내가 하고싶음
3 문화
N빵 회식은 어느나라 문화냐
4 개발자로서의 커리어
코드리뷰같은거 없고 있어도 형식적
DB나 카프카 같은 컴포넌트에 문제 생기면 협력업체가 해결해주길 기대하는게 현실 시스템 운영을 직접 안하기 때문에 운영부분에서 맞닥들이는 문제를 분석하고 해결하는 과정에서 오는 성장은 기대하기 어려움
5 업무용 PC
줘도 안쓸 삼성 싸구려 노트북 주고 WSL조차 막는게 이 회사 현실
6 연봉
소금도 이런 소금이 없음
이 회사 거치면서 특별한 목적있는게 아니라면 그냥 다른데 가십시오"
26,1,2,3,2,3,1,“구림”,현직원 · l******** · 연구개발(R&D) - 2020.10.07,"조직이 얼마나 치졸하고 주먹구구로도 굴러갈 수 있는지 알 수 있음
남들한테 무슨회사인지 설명 안해도 됨","남들한테 어떤 회사인지 설명해야함
왜 우리는 성과금 요구를 하는지 파업을 하는지
근데 얼마 받는지는 뉴스에서 다 알려줌
드럽고 치사함
출퇴근시간에 축사냄새남
구석에 있는데 도로 좁아서 출퇴근 기본 4시간 가끔 회사 앞에서만 1시간씩 걸림 자도자도 집에 도착하지 않음
휴지 세겹이니 많이 쓰지 말라고 써있는데 보면 두겹짜리임
아직 물통 교체형 정수기 사용함
개인 노트북 지급 없음
본사와 타 부문간 차별 심함
IT보다 더 IT같은 회사를 꿈꾼다는데 얼마전까지 오피스 2010씀
프로그램 툴이나 시스템 자체개발하는데 지들끼리 충돌남 컴터 개느림
회사에서 직원 까내리기 식 언플함 덕분에 뭘해도 욕먹음
일해서 돈버는데 욕먹음"
27,1,2,2,1,2,1,“경영진으로인해 망하게될 회신”,현직원 · i******* · 연구개발(R&D) - 2023.08.16,"연차에 따라 차량 구매시 할인외에
장점이랄게 딱히 생각나지 않음","직원들 연봉은 줄이고 임원들 연봉만 올림
국민정서라는 말도 안되는 핑계대면서 성과급을 주지 않음
회사를 다니다보면 진짜 본인들 목숨 부지할려는 임원들밖에 없다는 것을 알수 있음
출퇴근 평균3시간 소요 각오해야함
입사이후로 회사가 위기가 아닌적이 없었고 직원들 연봉은 매년 차이가 없음 근데 임원들 연봉은 매년 축제 수준
오지 마세요 여기보다 좋은회사 널렸습니다
연봉 기업문화 회사 위치 경영진 복지등 아무것도 좋은게 없는 회사"
28,1,1,5,1,2,1,“돈 벌려고 일 하는데 돈 안주는 회사”,현직원 · a******** · 연구개발(R&D) - 2023.08.21,"재택근무 없어진다는 말이 있으나 아직은 있음
쉬는 날 많음",회사가 성과급 지급 안하려고 하고 노조는 말도 안되는 정년연장만 외치고 있음 연봉이 매우 적어 먹고살기 힘듦
29,1,1,1,3,1,1,“성과에 대한 보상을 기대할 수 없는 회사”,현직원 · i******** · 생산엔지니어·생산관리 - 2023.08.16,출근과 퇴근만 잘 해도 어느정도 보장된 급여가 지급됨,"회사는 수십년 째 이어져온 노사관계를 바꿀 때가 됬다고 노조를 욕하지만 노사관계를 바꾸려면 회사가 제시하는 바가 있어야 하는데 그런것은 없고 직원들의 희생만 강요

지켜보는 직원들만 피마르는 중

2022년 성과를 2023년 8월까지 안주는게 회사인가"
30,1,1,3,1,1,1,“진짜 내부 분위기랑 외부 인식 완전 다름”,현직원 · i********* · 연구개발(R&D) - 2023.08.16,"장점
 차 할인
 재택근무 주 2회
 뭐 있지
 아 뭐 다른 대기업에 비해 워라밸 보장"," 자동차 oem 인데 협력사 보다 능력치가 낮은거 같음
 협력사를 부리면서 눌러 앉은 책임 실무진이 너무 너무 그것도 너무너무 많음부바부 참고
 ppt로 차량 양산 한다실제
 급여대졸 남자 기준 첫 월급수습 제외 300 이하
 그렇다고 성과급 많이주냐
 기준도 없고 지급 시기도 지들 맘대로고 블랙박스고 타 대기업에 비해 현저히 저조한 편실제 회사 성과에 비해
 연구소 근무지 남양
 출퇴근 지옥 개선할 생각 1도 없어보임 회장님은 방문시 헬기 이용 사무실에 앉아있음 가끔 비료 냄새남"
31,1,1,1,1,1,1,“일반연구직만 박살나는 회사”,현직원 · ㅣ***** · 연구개발(R&D) - 2023.08.16,"자동차 할인 10 받은 거 정도
딱히 자랑할만한 거 없음 ","대졸 석박 일반연구직만 꾸준히 개박살나는 구조
연봉이든 성과금이든 복지든
외부사람들이 보기에 좋아보이는건 전부 생산직이랑 임원들 얘기임"
32,1,1,2,1,1,1,“최악의 회사”,현직원 · p*** · 경영지원·관리 전문가 - 2023.08.16,"장인어른이 좋아하심
명함이 빳빳함
때되면 밥이 나옴
25일에 월급이 나옴","성과에 맞는 성과금을 안줌
2022년 성과를 2023년 8월에도 못받음"
33,2,1,4,1,1,1,“편한 회사”,현직원 · c******* · IT 기획·매니지먼트 전문가 - 2020.09.29,"편하다 대충 산다 광만팔면된다 거짓말 잘하면 된다
정치판","급여는 거의 중소기업수준으로 가는중
임원들이 이상하다 광만판다"
34,1,1,1,1,1,1,“광파는 건 세계일등인 회사”,현직원 · q***** · IT 엔지니어 - 2023.08.26,"내 옆사람들은 좋음
워라벨도 제조업 생각하면 최고
안정적이다","한명도 빠짐없이 본인만의 광을 팔고 있는 듯 함
회사도 국민정서 운운하며 광을 팔아 돈 안주려는게 보임 "
35,1,1,1,1,1,1,“워라벨보장되는 회사”,현직원 · ĵ******** · IT 엔지니어 - 2023.08.16,워라벨이 보장되어서 편하게 회사다닐수 있음 경력직 꿀,돈을 많이받는다는 사회적인식때문에 돈을 별로 못받아도 밥을 사야됨
36,1,1,5,1,1,1,“소문난 잔칫집에 먹을 거 없는 회사”,현직원 · i****** · 경영지원·관리 전문가 - 2020.12.22,"성과 압박 없음공무원 마인드
주변에서 좋은 회사 다니는 걸로 인식함","만약 이 글을 읽는 분이 이직 혹은 면접을 앞두고 있다면
무조건 피할 것을 진심으로 추천합니다

 돈도 많이 안줍니다  고연봉 XX 
 연장수당 없음 포괄 임금제

공무원 같은 삶을 바라고 회사에 욕심이 없고 시키는 일만 하면서 흘러가는 대로 사는 것을 좋아한다면 안정 중심 지원하시고 그렇지 않다면 무조건 거르세요

1 개인의 발전이나 자아 실현 불가
 성과 압박 없다는 것과 결이 같은 부분
 주어진 일만 하면 되고 서로 간의 책임 회피 문화
 일로서 만족을 얻거나 발전하기 어렵다

2 회사가 구성원을 대하는 태도
 근본적으로 소모품 그 이상 그 이하도 아님
 구성원을 생각하지 않고 구성원을 어떻게 하면 벗거 먹을 수 있을 지 뽑아 먹을 수 있을 지 생각하는 문화

3 현장 기술직생산직 중심 문화 공장 한정
 말도 안되는 상대적 역차별 존재
 기술직이 태만하거나 그들에게 시킬 수 없는 부분을 일반직사무직이 메꿔여 하는 구조 부가 업무
 억지 주장에 대해 들어줄 수 밖에 없는 환경
 노동조합은 생산직만을 위할 뿐 일반직의 처우 환경 개선엔 관심도 없음회사 또한 마찬가지
 회사는 생산직 어르고 달래는 것만 집중하다 보니 일반직은 그냥 개차반 처우희생 봉사 강요"
37,1,1,1,1,1,1,“직원을무시하는회사”,현직원 · v****** · 연구개발(R&D) - 2020.10.05,그런게 있었나 모르겠네요 뭐 돈 많이 준다고 광고는 하니까 그런가봅니다 전 안주긴하던데,"일단 감각없는 오너와 정씨일가의 생존만을 위한 부동산 투기 연구개발비 삭감 그리고 직원을 개무시하는 처사들
그리고 거의 땅끝마을에 위치한 회사"
38,1,1,1,1,1,1,“7년차인데 연봉이 올라가질않는 회사”,현직원 · u********* · 생산엔지니어·생산관리 - 2020.10.05,"자동차 할인
복지혜택
주변 인지도
사내 보건소 운영
미래 발전 가능성","성과를 내도 연봉은 줄어듬
식당 밥맛
망해가는 노동조합 퇴직자 우선 공약
직원들은 임금동결 내걸고 임원들은 연봉 13 상승"
39,1,1,1,1,1,1,“기업문화도 연봉도 너무 후짐”,현직원 · i******* · 경영지원·관리 전문가 - 2020.09.29,"없다 이 회사를 선택한걸 후회한다
부디 나같은 후회를 하지 않길 바람","1년치 성과급을 무논리로 일축하여 지급이와중 경영층 연봉 올림
임직원들 건강따윈 안중에도 없음
뭐든 팀 실장급 자율에 맡기는데 이들도 서로 눈치보느라 있는 정책도 주먹구구식임
오너는 그릇이 간장종지마냥 작고 팀장임원들은 그 접싯물에 코박고 죽는 시늉 하느라 일은 안하고 광팔이만 함
그리고 일단 복지가 너무너무 후짐
어느정도인지 상상이 안가서 설마설마 했는데 상식 밖임"
40,1,1,1,1,1,1,“망해가는 회사”,현직원 · T***** · 연구개발(R&D) - 2020.09.29,"돈주는만큼 일하면되서 일안하면되
회사가 남양읍이라는 촌구석에 처박혀있어서 하루에 출퇴근 왕복3시간은 기본이라 허리디스크도 공짜로 얻을수있음",경영진은 연봉올리고 직원은 연봉 깍고언론에는 동결이라지만 작년대비 300은 줄어듦
41,1,1,3,1,1,1,“성과를 직원에게 보답하지 않는 회사”,현직원 · H***** · 연구개발(R&D) - 2023.08.16,"외부에서는 현대자동차가 대기업인줄 안다
워라밸 나쁘지 않다","실적에 맞는 성과가 없음
인재존중이 절대적으로 필요한 회사"
42,1,1,2,1,2,1,“비전없음”,현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.08.16,"팀 바이 팀 이지만 워라밸 챙길 수 있는 환경
스마트 오피스","일 시키는 사람만 계속 시킴
회사 전략 방향성 부재
무분별한 외국인 임원 채용
 그로인한 심각한 의사결정상 장애물들
더이상 높지않은 페이"
43,1,1,1,1,1,1,“괜찮지?라고 생각하는 순간 그렇게 동료가 된다. 탈출해라.”,현직원 · 이******** · 연구개발(R&D) - 2022.11.06,직장이 생긴 거 빼고는 없습니다 진짜입니다 전적으로 믿으십시오 현직자들은 제 말에 100 공감할 것입니다,"타기업 대비 처참한 급여
출퇴근 시간으로 인한 워라밸 박살
남아있을 수록 커리어는 종착지로
미래 성장가능성 보이지 않음
무능한 경영진
그 외에도 수많은 단점이 존재
말합니다 돔황차"
44,1,2,3,1,1,1,“돈안주는 회사”,현직원 · i******* · 연구개발(R&D) - 2023.08.29,워라밸은 나쁘지 않은듯 야근은 거의 안한다고 생각하면됨,최대실적에도 돈 안주려는 회사 작년 성과급을 8월까지도 못받고있음언제받니
45,1,3,3,2,1,1,“노조가 악질이 된이유는 회사가 악마기 때문임을 느낌”,현직원 · 칙******* · 연구개발(R&D) - 2023.08.25,유명하다는점 말고는 딱히 장점이 없음을 나날이 느끼고 있다,"선도기술에 힘을 쏟아 영업익을 개선해야 하지만 복지 인건비 절감으로 영업익 개선하려는 회사
직원들이 노력해서 얻은 영업이익을 정회장과 경영진들의 투자실패로 모두 깎아먹고 본인들 연봉은 상승 직원들 연봉은 최대한 절감
오너와 경영진 리스크가 심각하다 주변사람들에게 추천하지 않는 직장"
46,1,1,3,1,1,1,“국민정서를 고려하는 회사”,현직원 · I******** · 연구개발(R&D) - 2023.08.22,"79월 점심시간에 아이스크림 나눠줍니다 체리마루
한량의 삶을 택한다면 워라밸은 확실하게 챙길 수 있습니다 진급거부 제도","성과금 기준이 없다 왜 작년 성과를 다음해 말에 받는지 이해가 되지 않음 심지어 그거 마저 쪼개고 쪼개서 줌

실적
1 작년 좋음  올해 어려움  앞으로 놓인 경영환경이 어려우니 성과금 많이 못드림 
2 작년 안좋음  올해 좋음  성과금은 작년 실적 기반으로 드리는 거임 
3 작년 안좋음  올해 안좋음  연봉 동결 임원만 20 인상
4 작년 좋음  올해 좋음  국민 정서 고려해야해서 많이 못드림 "
47,1,1,1,1,1,1,“직원 사기를 떨어트리는 회사 ”,현직원 · 이** · 연구개발(R&D) - 2023.08.18,타기업보다 빨리 커리어 박살나서 부끄러움은 자신의 몫임,직원 연봉이 낮아서 주변에서 불쌍하게 대해주며 성과급도 늦게 지급함
48,1,1,1,1,1,1,“가스라이팅하는 평판 조작 회사”,현직원 · !********* · IT 엔지니어 - 2023.08.16,경력직인데 장점이 아직 안보입니다 본사는 화장실 칸 많은거,모든게 뒤쳐져있고 구립니다 회사가 잘나간다고 뉴스에 온갖 홍보는 다 하고 있는데 복지 최악 워라밸 최악 작년성과금 아직도 안주고 있고 술문화 군대문화 주말에 집에서 일하는게 당연한 문화 재택 아예 못씀 경영진 마인드 60년대 문화 피피티 지옥 커리어 개박살
